63,1212,3.000
1212,63,3.000
63,583,1.000
583,63,1.000
583,1266,2.000
1266,583,2.000
583,1751,1.000
1751,583,1.000
1751,2022,2.000
2022,1751,2.000
1751,1594,3.000
1594,1751,3.000
1594,569,1.000
569,1594,1.000
1594,1260,1.000
1260,1594,1.000
1594,1447,4.000
1447,1594,4.000
1260,1447,1.000
1447,1260,1.000
1260,1979,2.000
1979,1260,2.000
1260,1316,4.000
1316,1260,4.000
1979,1316,1.000
1316,1979,1.000
1979,0,1.000
0,1979,1.000
1979,1447,4.000
1447,1979,4.000
0,1153,3.000
1153,0,3.000
0,970,2.000
970,0,2.000
970,1109,1.000
1109,970,1.000
970,1038,3.000
1038,970,3.000
970,2068,4.000
2068,970,4.000
1038,2068,1.000
2068,1038,1.000
1038,2093,3.000
2093,1038,3.000
1038,862,4.000
862,1038,4.000
2093,862,2.000
862,2093,2.000
2093,192,1.000
192,2093,1.000
192,1237,2.000
1237,192,2.000
192,103,2.000
103,192,2.000
103,1028,3.000
1028,103,3.000
1212,418,2.000
418,1212,2.000
1212,1266,3.000
1266,1212,3.000
1266,1026,2.000
1026,1266,2.000
1266,2022,2.000
2022,1266,2.000
2022,1806,3.000
1806,2022,3.000
2022,569,2.000
569,2022,2.000
569,166,2.000
166,569,2.000
569,1447,3.000
1447,569,3.000
1447,850,3.000
850,1447,3.000
1447,1316,3.000
1316,1447,3.000
1316,1164,2.000
1164,1316,2.000
1316,1153,2.000
1153,1316,2.000
1316,850,4.000
850,1316,4.000
1153,1210,3.000
1210,1153,3.000
1153,1109,2.000
1109,1153,2.000
1109,1671,1.000
1671,1109,1.000
1109,2068,1.000
2068,1109,1.000
2068,1236,3.000
1236,2068,3.000
2068,862,3.000
862,2068,3.000
862,1364,3.000
1364,862,3.000
862,1237,1.000
1237,862,1.000
1237,1387,2.000
1387,1237,2.000
1237,1028,3.000
1028,1237,3.000
1028,552,3.000
552,1028,3.000
418,867,2.000
867,418,2.000
418,1026,3.000
1026,418,3.000
418,1855,4.000
1855,418,4.000
1026,1855,1.000
1855,1026,1.000
1026,1806,1.000
1806,1026,1.000
1806,293,3.000
293,1806,3.000
1806,166,1.000
166,1806,1.000
1806,1855,6.000
1855,1806,6.000
166,2012,2.000
2012,166,2.000
166,850,1.000
850,166,1.000
850,988,3.000
988,850,3.000
850,1164,1.000
1164,850,1.000
1164,2115,1.000
2115,1164,1.000
1164,1210,3.000
1210,1164,3.000
1210,1668,1.000
1668,1210,1.000
1210,1671,2.000
1671,1210,2.000
1671,676,2.000
676,1671,2.000
1671,1236,1.000
1236,1671,1.000
1671,88,6.000
88,1671,6.000
1236,88,3.000
88,1236,3.000
1236,1364,2.000
1364,1236,2.000
1364,1878,3.000
1878,1364,3.000
1364,1387,3.000
1387,1364,3.000
1387,162,2.000
162,1387,2.000
1387,552,3.000
552,1387,3.000
552,470,2.000
470,552,2.000
867,2024,2.000
2024,867,2.000
867,1855,2.000
1855,867,2.000
1855,1673,1.000
1673,1855,1.000
1855,293,2.000
293,1855,2.000
293,1170,2.000
1170,293,2.000
293,2012,3.000
2012,293,3.000
2012,1561,1.000
1561,2012,1.000
2012,988,3.000
988,2012,3.000
988,1019,3.000
1019,988,3.000
988,2115,1.000
2115,988,1.000
988,1561,4.000
1561,988,4.000
2115,157,3.000
157,2115,3.000
2115,1668,1.000
1668,2115,1.000
1668,156,3.000
156,1668,3.000
1668,676,3.000
676,1668,3.000
1668,379,4.000
379,1668,4.000
676,379,3.000
379,676,3.000
676,88,1.000
88,676,1.000
676,156,6.000
156,676,6.000
88,1124,1.000
1124,88,1.000
88,1878,3.000
1878,88,3.000
1878,242,2.000
242,1878,2.000
1878,162,1.000
162,1878,1.000
162,369,1.000
369,162,1.000
162,470,3.000
470,162,3.000
162,1654,5.000
1654,162,5.000
470,1654,2.000
1654,470,2.000
2024,1803,2.000
1803,2024,2.000
2024,1673,3.000
1673,2024,3.000
1673,1870,2.000
1870,1673,2.000
1673,1170,1.000
1170,1673,1.000
1170,222,3.000
222,1170,3.000
1170,1561,3.000
1561,1170,3.000
1170,1004,4.000
1004,1170,4.000
1561,1004,3.000
1004,1561,3.000
1561,1019,3.000
1019,1561,3.000
1019,367,3.000
367,1019,3.000
1019,157,3.000
157,1019,3.000
157,2143,2.000
2143,157,2.000
157,156,2.000
156,157,2.000
156,1194,1.000
1194,156,1.000
156,379,2.000
379,156,2.000
156,284,4.000
284,156,4.000
379,284,3.000
284,379,3.000
379,1124,2.000
1124,379,2.000
1124,2007,1.000
2007,1124,1.000
1124,242,2.000
242,1124,2.000
1124,204,6.000
204,1124,6.000
242,204,3.000
204,242,3.000
242,369,1.000
369,242,1.000
369,275,3.000
275,369,3.000
369,1654,2.000
1654,369,2.000
369,204,5.000
204,369,5.000
1654,537,2.000
537,1654,2.000
1803,918,2.000
918,1803,2.000
1803,1870,1.000
1870,1803,1.000
1870,2124,2.000
2124,1870,2.000
1870,222,2.000
222,1870,2.000
1870,918,6.000
918,1870,6.000
222,1765,1.000
1765,222,1.000
222,1004,3.000
1004,222,3.000
1004,801,1.000
801,1004,1.000
1004,367,1.000
367,1004,1.000
367,496,3.000
496,367,3.000
367,2143,2.000
2143,367,2.000
2143,2096,1.000
2096,2143,1.000
2143,1194,1.000
1194,2143,1.000
1194,1183,1.000
1183,1194,1.000
1194,284,3.000
284,1194,3.000
284,1312,1.000
1312,284,1.000
284,2007,1.000
2007,284,1.000
2007,1473,1.000
1473,2007,1.000
2007,204,2.000
204,2007,2.000
204,1414,1.000
1414,204,1.000
204,275,3.000
275,204,3.000
275,828,1.000
828,275,1.000
275,537,2.000
537,275,2.000
537,799,2.000
799,537,2.000
918,1041,3.000
1041,918,3.000
918,2124,1.000
2124,918,1.000
2124,446,3.000
446,2124,3.000
2124,1765,1.000
1765,2124,1.000
1765,857,2.000
857,1765,2.000
1765,801,1.000
801,1765,1.000
1765,263,5.000
263,1765,5.000
801,263,1.000
263,801,1.000
801,496,2.000
496,801,2.000
496,185,3.000
185,496,3.000
496,2096,1.000
2096,496,1.000
496,263,4.000
263,496,4.000
2096,1931,3.000
1931,2096,3.000
2096,1183,1.000
1183,2096,1.000
1183,1407,3.000
1407,1183,3.000
1183,1312,3.000
1312,1183,3.000
1183,1931,4.000
1931,1183,4.000
1312,695,1.000
695,1312,1.000
1312,1473,3.000
1473,1312,3.000
1473,353,1.000
353,1473,1.000
1473,1414,1.000
1414,1473,1.000
1414,645,2.000
645,1414,2.000
1414,828,1.000
828,1414,1.000
828,2150,2.000
2150,828,2.000
828,799,1.000
799,828,1.000
799,2125,1.000
2125,799,1.000
1041,253,2.000
253,1041,2.000
1041,446,3.000
446,1041,3.000
446,1240,2.000
1240,446,2.000
446,857,3.000
857,446,3.000
857,888,2.000
888,857,2.000
857,263,2.000
263,857,2.000
857,578,4.000
578,857,4.000
263,578,1.000
578,263,1.000
263,185,3.000
185,263,3.000
185,1241,2.000
1241,185,2.000
185,1931,2.000
1931,185,2.000
1931,388,3.000
388,1931,3.000
1931,1407,3.000
1407,1931,3.000
1407,1492,2.000
1492,1407,2.000
1407,695,3.000
695,1407,3.000
695,1964,2.000
1964,695,2.000
695,353,2.000
353,695,2.000
695,1492,4.000
1492,695,4.000
353,1612,1.000
1612,353,1.000
353,645,3.000
645,353,3.000
645,1481,3.000
1481,645,3.000
645,2150,1.000
2150,645,1.000
2150,1201,3.000
1201,2150,3.000
2150,2125,2.000
2125,2150,2.000
2125,1717,3.000
1717,2125,3.000
253,1311,2.000
1311,253,2.000
253,1240,1.000
1240,253,1.000
1240,2044,2.000
2044,1240,2.000
1240,888,3.000
888,1240,3.000
888,1317,3.000
1317,888,3.000
888,578,3.000
578,888,3.000
888,2044,6.000
2044,888,6.000
578,1127,1.000
1127,578,1.000
578,1241,3.000
1241,578,3.000
1241,393,3.000
393,1241,3.000
1241,388,3.000
388,1241,3.000
388,2005,3.000
2005,388,3.000
388,1492,2.000
1492,388,2.000
1492,400,1.000
400,1492,1.000
1492,1964,2.000
1964,1492,2.000
1964,2070,1.000
2070,1964,1.000
1964,1612,3.000
1612,1964,3.000
1612,960,3.000
960,1612,3.000
1612,1481,1.000
1481,1612,1.000
1481,615,2.000
615,1481,2.000
1481,1201,1.000
1201,1481,1.000
1201,1239,1.000
1239,1201,1.000
1201,1717,2.000
1717,1201,2.000
1717,680,1.000
680,1717,1.000
1311,1891,1.000
1891,1311,1.000
1311,2044,3.000
2044,1311,3.000
2044,210,3.000
210,2044,3.000
2044,1317,1.000
1317,2044,1.000
1317,346,1.000
346,1317,1.000
1317,1127,3.000
1127,1317,3.000
1317,210,5.000
210,1317,5.000
1127,374,2.000
374,1127,2.000
1127,393,3.000
393,1127,3.000
393,256,2.000
256,393,2.000
393,2005,2.000
2005,393,2.000
2005,1822,1.000
1822,2005,1.000
2005,400,3.000
400,2005,3.000
400,1934,2.000
1934,400,2.000
400,2070,2.000
2070,400,2.000
2070,864,3.000
864,2070,3.000
2070,960,3.000
960,2070,3.000
960,416,2.000
416,960,2.000
960,615,1.000
615,960,1.000
615,1589,2.000
1589,615,2.000
615,1239,1.000
1239,615,1.000
1239,1120,1.000
1120,1239,1.000
1239,680,3.000
680,1239,3.000
680,2126,1.000
2126,680,1.000
680,1120,4.000
1120,680,4.000
1891,574,2.000
574,1891,2.000
1891,210,2.000
210,1891,2.000
210,93,2.000
93,210,2.000
210,346,2.000
346,210,2.000
346,1506,2.000
1506,346,2.000
346,374,3.000
374,346,3.000
374,2011,2.000
2011,374,2.000
374,256,1.000
256,374,1.000
256,2002,3.000
2002,256,3.000
256,1822,3.000
1822,256,3.000
256,2011,5.000
2011,256,5.000
1822,1344,2.000
1344,1822,2.000
1822,1934,3.000
1934,1822,3.000
1934,409,2.000
409,1934,2.000
1934,864,1.000
864,1934,1.000
864,1672,1.000
1672,864,1.000
864,416,3.000
416,864,3.000
416,1323,3.000
1323,416,3.000
416,1589,1.000
1589,416,1.000
1589,1226,2.000
1226,1589,2.000
1589,1120,3.000
1120,1589,3.000
1120,747,2.000
747,1120,2.000
1120,2126,3.000
2126,1120,3.000
2126,1696,2.000
1696,2126,2.000
574,93,3.000
93,574,3.000
93,1506,1.000
1506,93,1.000
1506,2011,1.000
2011,1506,1.000
2011,2002,3.000
2002,2011,3.000
2002,1344,2.000
1344,2002,2.000
1344,409,1.000
409,1344,1.000
409,1672,3.000
1672,409,3.000
1672,1323,1.000
1323,1672,1.000
1323,1226,1.000
1226,1323,1.000
1226,747,2.000
747,1226,2.000
747,1696,3.000
1696,747,3.000
1726,285,3.000
285,1726,3.000
1726,1365,3.000
1365,1726,3.000
1726,1570,4.000
1570,1726,4.000
1365,1570,1.000
1570,1365,1.000
1365,958,3.000
958,1365,3.000
958,60,2.000
60,958,2.000
958,1861,2.000
1861,958,2.000
958,1136,5.000
1136,958,5.000
1861,1136,2.000
1136,1861,2.000
1861,1425,3.000
1425,1861,3.000
1425,4,1.000
4,1425,1.000
1425,342,2.000
342,1425,2.000
342,1788,3.000
1788,342,3.000
342,692,2.000
692,342,2.000
692,1465,3.000
1465,692,3.000
692,2,1.000
2,692,1.000
2,1681,2.000
1681,2,2.000
2,1577,3.000
1577,2,3.000
1577,1174,3.000
1174,1577,3.000
1577,1324,3.000
1324,1577,3.000
1324,2042,1.000
2042,1324,1.000
1324,333,2.000
333,1324,2.000
333,576,3.000
576,333,3.000
333,741,1.000
741,333,1.000
741,118,3.000
118,741,3.000
285,1299,1.000
1299,285,1.000
285,1570,3.000
1570,285,3.000
1570,6,1.000
6,1570,1.000
1570,60,1.000
60,1570,1.000
60,1281,1.000
1281,60,1.000
60,1136,1.000
1136,60,1.000
60,6,6.000
6,60,6.000
1136,1168,2.000
1168,1136,2.000
1136,4,3.000
4,1136,3.000
4,1863,2.000
1863,4,2.000
4,1788,2.000
1788,4,2.000
1788,1435,3.000
1435,1788,3.000
1788,1465,2.000
1465,1788,2.000
1465,1785,3.000
1785,1465,3.000
1465,1681,2.000
1681,1465,2.000
1681,410,2.000
410,1681,2.000
1681,1174,3.000
1174,1681,3.000
1174,79,1.000
79,1174,1.000
1174,2042,2.000
2042,1174,2.000
2042,933,3.000
933,2042,3.000
2042,576,3.000
576,2042,3.000
576,535,2.000
535,576,2.000
576,118,1.000
118,576,1.000
118,737,1.000
737,118,1.000
1299,2065,3.000
2065,1299,3.000
1299,6,1.000
6,1299,1.000
6,2010,3.000
2010,6,3.000
6,1281,2.000
1281,6,2.000
1281,23,1.000
23,1281,1.000
1281,1168,3.000
1168,1281,3.000
1168,272,1.000
272,1168,1.000
1168,1863,3.000
1863,1168,3.000
1863,1690,3.000
1690,1863,3.000
1863,1435,1.000
1435,1863,1.000
1863,1256,4.000
1256,1863,4.000
1435,1256,2.000
1256,1435,2.000
1435,1785,1.000
1785,1435,1.000
1785,515,2.000
515,1785,2.000
1785,410,1.000
410,1785,1.000
410,1048,2.000
1048,410,2.000
410,79,1.000
79,410,1.000
79,818,1.000
818,79,1.000
79,933,1.000
933,79,1.000
79,541,6.000
541,79,6.000
79,1048,5.000
1048,79,5.000
933,541,1.000
541,933,1.000
933,535,3.000
535,933,3.000
535,536,2.000
536,535,2.000
535,737,3.000
737,535,3.000
737,57,2.000
57,737,2.000
2065,1172,3.000
1172,2065,3.000
2065,2010,2.000
2010,2065,2.000
2010,1688,2.000
1688,2010,2.000
2010,23,1.000
23,2010,1.000
2010,1172,6.000
1172,2010,6.000
23,1984,3.000
1984,23,3.000
23,272,2.000
272,23,2.000
272,1614,2.000
1614,272,2.000
272,1690,1.000
1690,272,1.000
1690,360,3.000
360,1690,3.000
1690,1256,3.000
1256,1690,3.000
1690,1614,5.000
1614,1690,5.000
1256,205,3.000
205,1256,3.000
1256,515,1.000
515,1256,1.000
515,1590,3.000
1590,515,3.000
515,1048,1.000
1048,515,1.000
1048,1022,2.000
1022,1048,2.000
1048,818,3.000
818,1048,3.000
818,2110,1.000
2110,818,1.000
818,541,1.000
541,818,1.000
541,1791,2.000
1791,541,2.000
541,536,1.000
536,541,1.000
536,2102,2.000
2102,536,2.000
536,57,2.000
57,536,2.000
57,1741,1.000
1741,57,1.000
57,2102,4.000
2102,57,4.000
1172,626,2.000
