1237,0.060
275,0.060
799,0.060
1717,0.060
747,0.060
369,0.030
1717,0.030
1976,0.060
1278,0.060
1329,0.060
901,0.060
1072,0.060
576,0.030
1008,0.030
1204,0.060
1089,0.060
1406,0.060
575,0.060
838,0.060
1553,0.060
1429,0.060
575,0.030
838,0.030
474,0.060
1683,0.060
74,0.060
1616,0.060
1545,0.060
1003,0.060
1003,0.030
590,0.030
677,0.060
366,0.060
1399,0.060
397,0.060
340,0.060
1641,0.030
1692,0.030
1713,0.060
702,0.060
1079,0.060
469,0.060
946,0.060
631,0.060
1789,0.060
194,0.060
1472,0.030
1556,0.030
1750,0.060
1591,0.060
595,0.060
1228,0.060
1838,0.060
1710,0.060
1014,0.030
1581,0.030
1486,0.060
919,0.060
11,0.060
1191,0.060
761,0.060
1090,0.060
175,0.060
1670,0.030
1421,0.030
2090,0.060
1375,0.060
1847,0.060
250,0.060
9,0.060
500,0.060
1749,0.060
129,0.060
1935,0.060
1375,0.030
714,0.030
2091,0.060
895,0.060
1508,0.060
794,0.060
2091,0.030
1126,0.030
533,0.060
487,0.060
903,0.060
936,0.060
1144,0.060
571,0.030
755,0.030
334,0.060
551,0.060
1411,0.060
829,0.060
349,0.060
82,0.060
465,0.060
1735,0.060
334,0.030
829,0.030
1463,0.060
1457,0.060
1217,0.060
1137,0.060
1837,0.060
179,0.060
617,0.060
1457,0.030
142,0.030
467,0.060
2138,0.060
2153,0.060
1420,0.060
1598,0.060
710,0.060
452,0.030
1420,0.030
636,0.060
704,0.060
39,0.060
1809,0.060
563,0.060
748,0.060
704,0.030
2119,0.030
