2093,0.060
2068,0.060
1414,0.060
353,0.060
1612,0.060
1481,0.060
416,0.060
1589,0.060
1414,0.030
615,0.030
958,0.060
1614,0.060
1984,0.060
912,0.060
1627,0.060
1480,0.060
958,0.030
1757,0.030
1133,0.060
1968,0.060
1134,0.060
471,0.060
1264,0.060
169,0.060
989,0.030
405,0.030
1593,0.060
705,0.060
1114,0.060
1482,0.060
371,0.060
1507,0.060
705,0.030
1000,0.030
2146,0.060
1211,0.060
1528,0.060
760,0.060
1154,0.060
1211,0.030
172,0.030
96,0.060
1523,0.060
1091,0.060
1235,0.060
1982,0.030
1836,0.030
1527,0.060
966,0.060
168,0.030
966,0.030
61,0.060
1140,0.060
1372,0.060
1560,0.060
1613,0.060
1966,0.060
444,0.060
556,0.030
444,0.030
2090,0.060
1375,0.060
1847,0.060
250,0.060
9,0.060
500,0.060
1749,0.060
129,0.060
1935,0.060
2090,0.030
586,0.030
375,0.060
968,0.060
1045,0.060
1679,0.060
927,0.060
1994,0.060
1045,0.030
927,0.030
533,0.060
487,0.060
903,0.060
936,0.060
1144,0.060
839,0.030
1290,0.030
334,0.060
551,0.060
1411,0.060
829,0.060
349,0.060
82,0.060
465,0.060
1735,0.060
349,0.030
82,0.030
882,0.060
1455,0.060
973,0.060
1325,0.060
1697,0.060
1708,0.030
1055,0.030
467,0.060
2138,0.060
2153,0.060
1420,0.060
1598,0.060
710,0.060
461,0.030
392,0.030
524,0.060
883,0.060
473,0.060
1767,0.060
356,0.060
1604,0.060
524,0.030
1534,0.030
